Fecha,Concepto,Energia_Dia_kWh,Inc_Dia_Porc,Energia_Mes_kWh,Inc_Mes_Porc,Energia_Año_kWh,Inc_Año_Porc,Ultimos_365_Dias_kWh
2026/03/01,Generación Hidráulica,"70,638,227.626",-16.292,"70,638,227.626",0.000,"4,679,857,481.846",1.533,"29,782,524,511.910"
2026/03/01,Generación Vapor Bunker,"6,609,294.395",11.922,"6,609,294.395",0.000,"378,585,903.729",1.777,"1,506,192,565.942"
2026/03/01,Generación Turbinas a Gas,"1,288,968.804",0.636,"1,288,968.804",0.000,"92,992,881.114",1.406,"468,206,319.459"
2026/03/01,Generación Turbinas a Diesel,"975,091.613",6.535,"975,091.613",0.000,"172,434,518.724",0.569,"642,551,544.005"
2026/03/01,Generación Motores Bunker,"7,276,023.959",53.804,"7,276,023.959",0.000,"440,961,486.165",1.678,"1,568,297,216.918"
2026/03/01,Generación de Otros Tipos,"504,969.912",9.290,"504,969.912",0.000,"21,545,493.917",2.400,"664,278,413.141"
2026/03/01,Total Generación,"87,292,576.309",-10.634,"87,292,576.309",-96.910,"5,786,377,765.495",1.532,"34,632,050,571.375"
2026/03/01,Importación de Colombia,"128,505.707",-8.891,"128,505.707",0.000,"128,496,807.148",0.100,"497,345,123.546"
2026/03/01,Importación de Perú,0.000,0.000,0.000,0.000,33.045,0.000,33.061
2026/03/01,Total Importación,"128,505.707",-8.891,"128,505.707",-96.530,"128,496,840.193",0.100,"497,345,156.607"
2026/03/01,Exportación a Colombia,"117,990.830",-5.855,"117,990.830",0.000,"4,622,384.693",2.619,"187,645,401.689"
2026/03/01,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/01,Total Exportación,"117,990.830",-5.855,"117,990.830",-96.438,"4,622,384.693",2.619,"188,147,604.625"
2026/03/01,Demanda Distribución,"80,692,016.765",-9.389,"80,692,016.765",0.000,"5,320,859,661.197",1.540,"31,274,831,979.564"
2026/03/01,Total Pérdidas Transporte,"-1,169,919.450",-133.917,"-1,169,919.450",-100.824,"126,885,579.716",-0.914,"1,433,840,513.734"
2026/03/02,Generación Hidráulica,"78,797,380.268",11.551,"149,435,607.894",111.551,"4,758,654,862.114",1.684,"29,782,836,160.554"
2026/03/02,Generación Vapor Bunker,"7,172,874.408",8.527,"13,782,168.803",108.527,"385,758,778.137",1.895,"1,510,386,397.339"
2026/03/02,Generación Turbinas a Gas,"1,531,077.619",18.783,"2,820,046.423",118.783,"94,523,958.733",1.646,"468,376,201.031"
2026/03/02,Generación Turbinas a Diesel,"3,060,390.272",213.857,"4,035,481.885",313.857,"175,494,908.996",1.775,"643,626,584.885"
2026/03/02,Generación Motores Bunker,"8,358,883.849",14.883,"15,634,907.808",114.883,"449,320,370.014",1.896,"1,574,054,136.421"
2026/03/02,Generación de Otros Tipos,"433,945.196",-14.065,"938,915.108",85.935,"21,979,439.113",2.014,"664,602,823.433"
