Fecha,Concepto,Energia_Dia_kWh,Inc_Dia_Porc,Energia_Mes_kWh,Inc_Mes_Porc,Energia_Año_kWh,Inc_Año_Porc,Ultimos_365_Dias_kWh
2026/03/28,Generación Hidráulica,"59,646,179.953",-6.541,"2,125,841,735.338",2.887,"6,735,060,989.558",0.894,"29,450,605,290.738"
2026/03/28,Generación Vapor Bunker,"5,804,473.335",-1.091,"170,293,384.176",3.529,"544,728,569.000",1.077,"1,564,173,448.522"
2026/03/28,Generación Turbinas a Gas,"1,835,772.786",3.690,"44,972,291.276",4.256,"136,676,203.806",1.361,"471,097,803.818"
2026/03/28,Generación Turbinas a Diesel,"5,087,801.309",4.544,"90,510,506.658",5.956,"261,969,933.769",1.981,"658,202,919.623"
2026/03/28,Generación Motores Bunker,"7,363,635.882",-3.920,"180,181,697.474",4.261,"614,498,473.771",1.213,"1,704,307,273.362"
2026/03/28,Generación de Otros Tipos,"228,096.097",0.819,"7,820,976.288",3.004,"28,875,060.347",0.796,"403,172,520.199"
2026/03/28,Total Generación,"79,965,959.362",-5.048,"2,619,620,591.210",3.149,"8,321,809,230.251",0.970,"34,251,559,256.262"
2026/03/28,Importación de Colombia,"159,756.997",-3.225,"3,807,599.686",4.379,"132,175,901.127",0.121,"495,606,782.772"
2026/03/28,Importación de Perú,0.176,-75.350,39.588,0.447,72.633,0.243,72.649
2026/03/28,Total Importación,"159,757.173",-3.225,"3,807,639.274",4.379,"132,175,973.760",0.121,"495,606,855.421"
2026/03/28,Exportación a Colombia,"134,760.160",26.632,"3,254,642.803",4.319,"7,759,036.666",1.768,"132,804,819.776"
2026/03/28,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/28,Total Exportación,"134,760.160",26.632,"3,254,642.803",4.319,"7,759,036.666",1.768,"133,307,022.712"
2026/03/28,Demanda Distribución,"91,686,229.035",-4.855,"2,510,468,417.784",3.791,"7,750,636,062.216",1.197,"31,329,814,139.736"
2026/03/28,Total Pérdidas Transporte,"-19,287,004.639",-3.466,"-78,297,503.865",32.684,"52,216,571.011",-26.973,"1,176,565,155.674"
2026/03/29,Generación Hidráulica,"51,913,507.339",-12.964,"2,177,755,242.677",2.442,"6,786,974,496.897",0.771,"29,413,586,097.544"
2026/03/29,Generación Vapor Bunker,"6,301,407.598",8.561,"176,594,791.774",3.700,"551,029,976.598",1.157,"1,567,064,108.227"
2026/03/29,Generación Turbinas a Gas,"1,705,092.054",-7.119,"46,677,383.330",3.791,"138,381,295.860",1.248,"471,149,806.694"
2026/03/29,Generación Turbinas a Diesel,"4,974,826.740",-2.220,"95,485,333.398",5.496,"266,944,760.509",1.899,"660,068,826.177"
2026/03/29,Generación Motores Bunker,"7,712,489.899",4.738,"187,894,187.373",4.280,"622,210,963.670",1.255,"1,711,208,995.056"
2026/03/29,Generación de Otros Tipos,"320,246.343",40.400,"8,141,222.631",4.095,"29,195,306.690",1.109,"403,416,138.877"
2026/03/29,Total Generación,"72,927,569.973",-8.802,"2,692,548,161.183",2.784,"8,394,736,800.224",0.876,"34,226,493,972.575"
